Year,Month_Num,Month_Name,Region,Italians,Foreigners
2024,1,Gennaio,Val di Fiemme e Val di Cembra,70488,80378
2024,1,Gennaio,Val di Fassa,259604,180999
2024,1,Gennaio,"San Martino di Castrozza, Primiero e Vanoi",82095,18562
2024,1,Gennaio,"Valsugana, Tesino e Valle dei Mocheni",12582,3075
2024,1,Gennaio,Altipiani cimbri e Vigolana,50512,46086
2024,1,Gennaio,"Rovereto, Vallagarina e Monte Baldo",23940,5159
2024,1,Gennaio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",23172,18965
2024,1,Gennaio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",137513,93425
2024,1,Gennaio,Val di Sole,153115,179851
2024,1,Gennaio,Val di Non,12350,1287
2024,1,Gennaio,Provincia,1039735,693408
2024,2,Febbraio,"Trento, Monte Bondone e Altopiano di Pinè",33629,35908
2024,2,Febbraio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",138016,57545
2024,2,Febbraio,Val di Fiemme e Val di Cembra,47988,107316
2024,2,Febbraio,Val di Fassa,204781,237023
2024,2,Febbraio,"San Martino di Castrozza, Primiero e Vanoi",73943,26059
2024,2,Febbraio,"Valsugana, Tesino e Valle dei Mocheni",7825,4013
2024,2,Febbraio,Altipiani cimbri e Vigolana,41686,56984
2024,2,Febbraio,"Rovereto, Vallagarina e Monte Baldo",18852,9281
2024,2,Febbraio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",11353,9904
2024,2,Febbraio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",113235,119455
2024,2,Febbraio,Val di Sole,105424,221293
2024,2,Febbraio,Val di Non,7668,1724
2024,2,Febbraio,Provincia,804400,886505
2024,3,Marzo,"Trento, Monte Bondone e Altopiano di Pinè",34804,27375
2024,3,Marzo,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",90776,27231
2024,3,Marzo,Val di Fiemme e Val di Cembra,35781,81129
2024,3,Marzo,Val di Fassa,126934,156298
2024,3,Marzo,"San Martino di Castrozza, Primiero e Vanoi",48348,9568
2024,3,Marzo,"Valsugana, Tesino e Valle dei Mocheni",11717,3489
2024,3,Marzo,Altipiani cimbri e Vigolana,27149,22623
2024,3,Marzo,"Rovereto, Vallagarina e Monte Baldo",15279,4233
2024,3,Marzo,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",19410,76630
2024,3,Marzo,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",98743,79630
2024,3,Marzo,Val di Sole,100475,155664
2024,3,Marzo,Val di Non,6235,1973
2024,3,Marzo,Provincia,615651,645843
